Time[s], BSYNC, SPI, COPY
0.47527765, 0, 0, 0
0.47532323, 1, 0, 0
0.47532368, 0, 0, 0
0.47536925, 1, 0, 0
0.47536970, 0, 0, 0
0.47541528, 1, 0, 0
0.47541573, 0, 0, 0
0.47546130, 1, 0, 0
0.47546175, 0, 0, 0
0.47546280, 1, 0, 0
0.47550778, 0, 0, 0
0.47550879, 1, 0, 0
0.47555380, 0, 0, 0
0.47555485, 1, 0, 0
0.47559983, 0, 0, 0
0.47560084, 1, 0, 0
0.47564585, 0, 0, 0
0.47564690, 1, 0, 0
0.47569187, 0, 0, 0
0.47569292, 1, 0, 0
0.47573790, 0, 0, 0
0.47573891, 1, 0, 0
0.47578392, 0, 0, 0
0.47578497, 1, 0, 0
0.47582995, 0, 0, 0
0.47583096, 1, 0, 0
0.47587597, 0, 0, 0
0.47587702, 1, 0, 0
0.47592200, 0, 0, 0
0.47592301, 1, 0, 0
0.47596802, 0, 0, 0
0.47596907, 1, 0, 0
0.47601405, 0, 0, 0
0.47601506, 1, 0, 0
0.47606007, 0, 0, 0
0.47606112, 1, 0, 0
0.47610610, 0, 0, 0
0.47610711, 1, 0, 0
0.47615212, 0, 0, 0
0.47615317, 1, 0, 0
0.47619814, 0, 0, 0
0.47619919, 1, 0, 0
0.47624417, 0, 0, 0
0.47624518, 1, 0, 0
0.47629019, 0, 0, 0
0.47629124, 1, 0, 0
0.47633622, 0, 0, 0
0.47633723, 1, 0, 0
0.47638224, 0, 0, 0
0.47638329, 1, 0, 0
0.47642827, 0, 0, 0
0.47642928, 1, 0, 0
0.47647429, 0, 0, 0
0.47647534, 1, 0, 0
0.47652032, 0, 0, 0
0.47652133, 1, 0, 0
0.47656634, 0, 0, 0
0.47656739, 1, 0, 0
0.47661236, 0, 0, 0
0.47661338, 1, 0, 0
0.47665839, 0, 0, 0
0.47665944, 1, 0, 0
0.47670441, 0, 0, 0
0.47670546, 1, 0, 0
0.47675044, 0, 0, 0
0.47675145, 1, 0, 0
0.47679646, 0, 0, 0
0.47679751, 1, 0, 0
0.47684249, 0, 0, 0
0.47684350, 1, 0, 0
0.47684922, 1, 1, 0
0.47684947, 1, 0, 0
0.47685016, 1, 1, 0
0.47685053, 1, 0, 0
0.47685422, 1, 1, 0
0.47685453, 1, 0, 0
0.47685529, 1, 1, 0
0.47685541, 1, 0, 0
0.47685578, 1, 1, 0
0.47685591, 1, 0, 0
0.47685673, 1, 1, 0
0.47685697, 1, 0, 0
0.47685722, 1, 1, 0
0.47685747, 1, 0, 0
0.47685816, 1, 1, 0
0.47685854, 1, 0, 0
0.47685878, 1, 1, 0
0.47685891, 1, 0, 0
0.47685916, 1, 1, 0
0.47685941, 1, 0, 0
0.47685966, 1, 1, 0
0.47686004, 1, 0, 0
0.47686015, 1, 1, 0
0.47686016, 1, 0, 0
0.47686072, 1, 1, 0
0.47686097, 1, 0, 0
0.47686116, 1, 1, 0
0.47686154, 1, 0, 0
0.47686216, 1, 1, 0
0.47686254, 1, 0, 0
0.47686266, 1, 1, 0
0.47686304, 1, 0, 0
0.47686322, 1, 1, 0
0.47686348, 1, 0, 0
0.47686366, 1, 1, 0
0.47686404, 1, 0, 0
0.47688851, 0, 0, 0
0.47688956, 1, 0, 0
0.47689442, 1, 1, 0
0.47689443, 1, 0, 0
0.47689517, 1, 1, 0
0.47689518, 1, 0, 0
0.47689942, 1, 1, 0
0.47689943, 1, 0, 0
0.47690087, 1, 1, 0
0.47690093, 1, 0, 0
0.47690317, 1, 1, 0
0.47690318, 1, 0, 0
0.47690367, 1, 1, 0
0.47690368, 1, 0, 0
0.47690417, 1, 1, 0
0.47690418, 1, 0, 0
0.47690567, 1, 1, 0
0.47690568, 1, 0, 0
0.47690667, 1, 1, 0
0.47690668, 1, 0, 0
0.47690717, 1, 1, 0
0.47690718, 1, 0, 0
0.47690868, 1, 1, 0
0.47690869, 1, 0, 0
0.47690918, 1, 1, 0
0.47690919, 1, 0, 0
0.47691168, 1, 1, 0
0.47691169, 1, 0, 0
0.47691237, 1, 1, 0
0.47691244, 1, 0, 0
0.47691337, 1, 1, 0
0.47691344, 1, 0, 0
0.47693454, 0, 0, 0
0.47693559, 1, 0, 0
0.47694770, 1, 1, 0
0.47694771, 1, 0, 0
0.47694971, 1, 1, 0
0.47694977, 1, 0, 0
0.47695020, 1, 1, 0
0.47695021, 1, 0, 0
0.47695170, 1, 1, 0
0.47695171, 1, 0, 0
0.47695221, 1, 1, 0
0.47695227, 1, 0, 0
0.47695270, 1, 1, 0
0.47695271, 1, 0, 0
0.47698056, 0, 0, 0
0.47698161, 1, 0, 0
0.47699585, 1, 1, 0
0.47699586, 1, 0, 0
0.47702659, 0, 0, 0
0.47702760, 1, 0, 0
0.47703576, 1, 1, 0
0.47703613, 1, 0, 0
0.47704175, 1, 1, 0
0.47704176, 1, 0, 0
0.47704225, 1, 1, 0
0.47704257, 1, 0, 0
0.47704375, 1, 1, 0
0.47704407, 1, 0, 0
0.47704425, 1, 1, 0
0.47704426, 1, 0, 0
0.47704475, 1, 1, 0
0.47704476, 1, 0, 0
0.47704526, 1, 1, 0
0.47704557, 1, 0, 0
0.47704676, 1, 1, 0
0.47704707, 1, 0, 0
0.47704732, 1, 1, 0
0.47704757, 1, 0, 0
0.47707261, 0, 0, 0
0.47707366, 1, 0, 0
0.47707827, 1, 1, 0
0.47707830, 1, 0, 0
0.47707831, 1, 1, 0
0.47707865, 1, 0, 0
0.47708328, 1, 1, 0
0.47708330, 1, 0, 0
0.47708331, 1, 1, 0
0.47708365, 1, 0, 0
0.47708577, 1, 1, 0
0.47708578, 1, 0, 0
0.47708777, 1, 1, 0
0.47708778, 1, 0, 0
0.47708802, 1, 1, 0
0.47708803, 1, 0, 0
0.47708827, 1, 1, 0
0.47708828, 1, 0, 0
0.47708933, 1, 1, 0
0.47708934, 1, 0, 0
0.47708977, 1, 1, 0
0.47708978, 1, 0, 0
0.47709052, 1, 1, 0
0.47709053, 1, 0, 0
0.47709077, 1, 1, 0
0.47709078, 1, 0, 0
0.47709578, 1, 1, 0
0.47709579, 1, 0, 0
0.47709653, 1, 1, 0
0.47709654, 1, 0, 0
0.47709753, 1, 1, 0
0.47709754, 1, 0, 0
0.47711863, 0, 0, 0
0.47711969, 1, 0, 0
0.47713412, 1, 1, 0
0.47713418, 1, 0, 0
0.47713430, 1, 1, 0
0.47713431, 1, 0, 0
0.47713580, 1, 1, 0
0.47713581, 1, 0, 0
0.47713662, 1, 1, 0
0.47713668, 1, 0, 0
0.47713680, 1, 1, 0
0.47713681, 1, 0, 0
0.47716466, 0, 0, 0
0.47716567, 1, 0, 0
0.47718659, 1, 1, 0
0.47718665, 1, 0, 0
0.47718909, 1, 1, 0
0.47718915, 1, 0, 0
0.47721068, 0, 0, 0
0.47721173, 1, 0, 0
0.47721742, 1, 1, 0
0.47721766, 1, 0, 0
0.47722305, 1, 1, 0
0.47722317, 1, 0, 0
0.47722348, 1, 1, 0
0.47722360, 1, 0, 0
0.47722398, 1, 1, 0
0.47722410, 1, 0, 0
0.47722492, 1, 1, 0
0.47722517, 1, 0, 0
0.47722541, 1, 1, 0
0.47722567, 1, 0, 0
0.47722698, 1, 1, 0
0.47722711, 1, 0, 0
0.47722736, 1, 1, 0
0.47722761, 1, 0, 0
0.47722785, 1, 1, 0
0.47722823, 1, 0, 0
0.47722835, 1, 1, 0
0.47722836, 1, 0, 0
0.47722892, 1, 1, 0
0.47722917, 1, 0, 0
0.47722935, 1, 1, 0
0.47722973, 1, 0, 0
0.47723086, 1, 1, 0
0.47723123, 1, 0, 0
0.47723142, 1, 1, 0
0.47723167, 1, 0, 0
0.47723261, 1, 1, 0
0.47723267, 1, 0, 0
0.47723455, 1, 1, 0
0.47723467, 1, 0, 0
0.47723511, 1, 1, 0
0.47723517, 1, 0, 0
0.47723555, 1, 1, 0
0.47723567, 1, 0, 0
0.47725671, 0, 0, 0
0.47725772, 1, 0, 0
0.47730273, 0, 0, 0
0.47730379, 1, 0, 0
0.47734876, 0, 0, 0
0.47734977, 1, 0, 0
0.47739478, 0, 0, 0
0.47739583, 1, 0, 0
0.47744081, 0, 0, 0
0.47744182, 1, 0, 0
0.47748683, 0, 0, 0
0.47748790, 1, 0, 0
0.47753286, 0, 0, 0
0.47753387, 1, 0, 0
0.47757888, 0, 0, 0
0.47757993, 1, 0, 0
0.47758505, 1, 1, 0
0.47758542, 1, 0, 0
0.47758554, 1, 1, 0
0.47758592, 1, 0, 0
0.47758610, 1, 1, 0
0.47758636, 1, 0, 0
0.47758654, 1, 1, 0
0.47758692, 1, 0, 0
0.47761563, 1, 1, 0
0.47761588, 1, 0, 0
0.47761606, 1, 1, 0
0.47761644, 1, 0, 0
0.47761706, 1, 1, 0
0.47761744, 1, 0, 0
0.47761813, 1, 1, 0
0.47761838, 1, 0, 0
0.47762490, 0, 0, 0
0.47762592, 1, 0, 0
0.47763244, 1, 1, 0
0.47763245, 1, 0, 0
0.47766283, 1, 1, 0
0.47766284, 1, 0, 0
0.47766408, 1, 1, 0
0.47766409, 1, 0, 0
0.47767093, 0, 0, 0
0.47767200, 1, 0, 0
0.47771695, 0, 0, 0
0.47771800, 1, 0, 0
0.47772531, 1, 1, 0
0.47772537, 1, 0, 0
0.47775613, 1, 1, 0
0.47775614, 1, 0, 0
0.47775683, 1, 1, 0
0.47775689, 1, 0, 0
0.47776298, 0, 0, 0
0.47776399, 1, 0, 0
0.47776965, 1, 1, 0
0.47776996, 1, 0, 0
0.47777020, 1, 1, 0
0.47777046, 1, 0, 0
0.47777134, 1, 1, 0
0.47777140, 1, 0, 0
0.47779973, 1, 1, 0
0.47779997, 1, 0, 0
0.47780222, 1, 1, 0
0.47780248, 1, 0, 0
0.47780285, 1, 1, 0
0.47780291, 1, 0, 0
0.47780900, 0, 0, 0
0.47781005, 1, 0, 0
0.47781535, 1, 1, 0
0.47781536, 1, 0, 0
0.47781685, 1, 1, 0
0.47781686, 1, 0, 0
0.47784669, 1, 1, 0
0.47784706, 1, 0, 0
0.47785503, 0, 0, 0
0.47785610, 1, 0, 0
0.47790105, 0, 0, 0
0.47790210, 1, 0, 0
0.47790941, 1, 1, 0
0.47790947, 1, 0, 0
0.47794093, 1, 1, 0
0.47794099, 1, 0, 0
0.47794708, 0, 0, 0
0.47794809, 1, 0, 0
0.47795375, 1, 1, 0
0.47795412, 1, 0, 0
0.47795430, 1, 1, 0
0.47795456, 1, 0, 0
0.47795543, 1, 1, 0
0.47795549, 1, 0, 0
0.47798383, 1, 1, 0
0.47798407, 1, 0, 0
0.47798582, 1, 1, 0
0.47798607, 1, 0, 0
0.47798632, 1, 1, 0
0.47798657, 1, 0, 0
0.47798695, 1, 1, 0
0.47798701, 1, 0, 0
0.47799310, 0, 0, 0
0.47799411, 1, 0, 0
0.47803913, 0, 0, 0
0.47804021, 1, 0, 0
0.47808515, 0, 0, 0
0.47808616, 1, 0, 0
0.47813117, 0, 0, 0
0.47813222, 1, 0, 0
0.47817720, 0, 0, 0
0.47817821, 1, 0, 0
0.47822322, 0, 0, 0
0.47822431, 1, 0, 0
0.47826925, 0, 0, 0
0.47827026, 1, 0, 0
0.47831527, 0, 0, 0
0.47831632, 1, 0, 0
0.47836130, 0, 0, 0
0.47836231, 1, 0, 0
0.47840732, 0, 0, 0
0.47840837, 1, 0, 0
