Time[s], BSYNC, VIDEO, INTENS
1.00972724, 0, 0, 0
1.00977431, 1, 0, 0
1.00977526, 0, 0, 0
1.00982232, 1, 0, 0
1.00982326, 0, 0, 0
1.00987032, 1, 0, 0
1.00987127, 0, 0, 0
1.00991833, 1, 0, 0
1.00991927, 0, 0, 0
1.00996633, 1, 0, 0
1.00996728, 0, 0, 0
1.01001434, 1, 0, 0
1.01001528, 0, 0, 0
1.01001727, 1, 0, 0
1.01006329, 0, 0, 0
1.01006528, 1, 0, 0
1.01011130, 0, 0, 0
1.01011328, 1, 0, 0
1.01015930, 0, 0, 0
1.01016129, 1, 0, 0
1.01020731, 0, 0, 0
1.01020930, 1, 0, 0
1.01025531, 0, 0, 0
1.01025730, 1, 0, 0
1.01030332, 0, 0, 0
1.01030531, 1, 0, 0
1.01035133, 0, 0, 0
1.01035331, 1, 0, 0
1.01039933, 0, 0, 0
1.01040132, 1, 0, 0
1.01044733, 0, 0, 0
1.01044932, 1, 0, 0
1.01049533, 0, 0, 0
1.01049734, 1, 0, 0
1.01054334, 0, 0, 0
1.01054535, 1, 0, 0
1.01059134, 0, 0, 0
1.01059336, 1, 0, 0
1.01059837, 1, 1, 0
1.01060186, 1, 0, 0
1.01060337, 1, 1, 0
1.01060686, 1, 0, 0
1.01060837, 1, 1, 0
1.01061186, 1, 0, 0
1.01061337, 1, 1, 0
1.01061686, 1, 0, 0
1.01063935, 0, 0, 0
1.01064136, 1, 0, 0
1.01064637, 1, 1, 0
1.01064986, 1, 0, 0
1.01065137, 1, 1, 0
1.01065486, 1, 0, 0
1.01065637, 1, 1, 0
1.01065986, 1, 0, 0
1.01066137, 1, 1, 0
1.01066486, 1, 0, 0
1.01068736, 0, 0, 0
1.01068937, 1, 0, 0
1.01069438, 1, 1, 0
1.01069787, 1, 0, 0
1.01069938, 1, 1, 0
1.01070287, 1, 0, 0
1.01070438, 1, 1, 0
1.01070787, 1, 0, 0
1.01070938, 1, 1, 0
1.01071287, 1, 0, 0
1.01073536, 0, 0, 0
1.01073737, 1, 0, 0
1.01074155, 1, 1, 1
1.01074160, 1, 0, 0
1.01074277, 1, 1, 0
1.01074287, 1, 0, 0
1.01074316, 1, 1, 0
1.01074337, 1, 0, 0
1.01074366, 1, 1, 0
1.01074448, 1, 0, 0
1.01074472, 1, 1, 0
1.01074504, 1, 0, 0
1.01074510, 1, 1, 0
1.01074548, 1, 0, 0
1.01074572, 1, 1, 0
1.01074587, 1, 0, 0
1.01074649, 1, 1, 1
1.01074671, 1, 0, 0
1.01074749, 1, 1, 0
1.01074765, 1, 0, 0
1.01074777, 1, 1, 0
1.01074787, 1, 0, 0
1.01074816, 1, 1, 0
1.01074837, 1, 0, 0
1.01074866, 1, 1, 0
1.01074949, 1, 0, 0
1.01074972, 1, 1, 0
1.01074999, 1, 0, 0
1.01075022, 1, 1, 0
1.01075049, 1, 0, 0
1.01075072, 1, 1, 0
1.01075087, 1, 0, 0
1.01075138, 1, 1, 1
1.01075176, 1, 0, 0
1.01075199, 1, 1, 1
1.01075215, 1, 0, 0
1.01075238, 1, 1, 0
1.01075249, 1, 0, 0
1.01075272, 1, 1, 0
1.01075387, 1, 0, 0
1.01075416, 1, 1, 0
1.01075454, 1, 0, 0
1.01075461, 1, 1, 0
1.01075554, 1, 0, 0
1.01075561, 1, 1, 0
1.01075588, 1, 0, 0
1.01075638, 1, 1, 1
1.01075676, 1, 0, 0
1.01075694, 1, 1, 1
1.01075721, 1, 0, 0
1.01075772, 1, 1, 0
1.01075887, 1, 0, 0
1.01075922, 1, 1, 0
1.01076054, 1, 0, 0
1.01076061, 1, 1, 0
1.01076088, 1, 0, 0
1.01078337, 0, 0, 0
1.01078538, 1, 0, 0
1.01078950, 1, 1, 1
1.01078966, 1, 0, 0
1.01079039, 1, 1, 0
1.01079043, 1, 0, 0
1.01079055, 1, 1, 0
1.01079066, 1, 0, 0
1.01079078, 1, 1, 0
1.01079094, 1, 0, 0
1.01079105, 1, 1, 0
1.01079110, 1, 0, 0
1.01079122, 1, 1, 0
1.01079144, 1, 0, 0
1.01079155, 1, 1, 0
