Time[s], BSYNC, VIDEO, INTENS
0.42693181, 0, 0, 1
0.42698895, 1, 0, 1
0.42699433, 0, 0, 1
0.42705146, 1, 0, 1
0.42705687, 0, 0, 1
0.42711397, 1, 0, 1
0.42711935, 0, 0, 1
0.42717649, 1, 0, 1
0.42718194, 0, 0, 1
0.42723900, 1, 0, 1
0.42724438, 0, 0, 1
0.42730151, 1, 0, 1
0.42730689, 0, 0, 1
0.42736403, 1, 0, 1
0.42736941, 0, 0, 1
0.42742654, 1, 0, 1
0.42743194, 0, 0, 1
0.42748905, 1, 0, 1
0.42749446, 0, 0, 1
0.42755157, 1, 0, 1
0.42755697, 0, 0, 1
0.42761408, 1, 0, 1
0.42761949, 0, 0, 1
0.42767659, 1, 0, 1
0.42768200, 0, 0, 1
0.42769302, 1, 0, 1
0.42774452, 0, 0, 1
0.42774941, 1, 0, 1
0.42780698, 0, 0, 1
0.42781192, 1, 0, 1
0.42786955, 0, 0, 1
0.42787444, 1, 0, 1
0.42793204, 0, 0, 1
0.42793695, 1, 0, 1
0.42799455, 0, 0, 1
0.42799947, 1, 0, 1
0.42805706, 0, 0, 1
0.42806197, 1, 0, 1
0.42811958, 0, 0, 1
0.42812449, 1, 0, 1
0.42818209, 0, 0, 1
0.42818700, 1, 0, 1
0.42824460, 0, 0, 1
0.42824952, 1, 0, 1
0.42830711, 0, 0, 1
0.42831203, 1, 0, 1
0.42836963, 0, 0, 1
0.42837454, 1, 0, 1
0.42843217, 0, 0, 1
0.42843706, 1, 0, 1
0.42849471, 0, 0, 1
0.42849957, 1, 0, 1
0.42850675, 1, 1, 1
0.42850785, 1, 0, 1
0.42850849, 1, 1, 1
0.42850897, 1, 0, 1
0.42851008, 1, 1, 1
0.42851038, 1, 0, 1
0.42851044, 1, 1, 1
0.42851079, 1, 0, 1
0.42851261, 1, 1, 1
0.42851285, 1, 0, 1
0.42851478, 1, 1, 1
0.42851531, 1, 0, 1
0.42851543, 1, 1, 1
0.42851599, 1, 0, 1
0.42851652, 1, 1, 1
0.42851712, 1, 0, 1
0.42851724, 1, 1, 1
0.42851762, 1, 0, 1
0.42851840, 1, 1, 1
0.42851867, 1, 0, 1
0.42851873, 1, 1, 1
0.42851950, 1, 0, 1
0.42852050, 1, 1, 1
0.42852175, 1, 0, 1
0.42852180, 1, 1, 1
0.42852229, 1, 0, 1
0.42852303, 1, 1, 1
0.42852341, 1, 0, 1
0.42852346, 1, 1, 1
0.42852532, 1, 0, 1
0.42852694, 1, 1, 1
0.42852751, 1, 0, 1
0.42852759, 1, 1, 1
0.42852812, 1, 0, 1
0.42852815, 1, 1, 1
0.42853055, 1, 0, 1
0.42855719, 0, 0, 1
0.42856209, 1, 0, 1
0.42856919, 1, 1, 1
0.42856943, 1, 0, 1
0.42856948, 1, 1, 1
0.42857044, 1, 0, 1
0.42857093, 1, 1, 1
0.42857158, 1, 0, 1
0.42857259, 1, 1, 1
0.42857286, 1, 0, 1
0.42857295, 1, 1, 1
0.42857333, 1, 0, 1
0.42857723, 1, 1, 1
0.42857746, 1, 0, 1
0.42857759, 1, 1, 1
0.42857855, 1, 0, 1
0.42857896, 1, 1, 1
0.42858014, 1, 0, 1
0.42858084, 1, 1, 1
0.42858201, 1, 0, 1
0.42858316, 1, 1, 1
0.42858350, 1, 0, 1
0.42858359, 1, 1, 1
0.42858484, 1, 0, 1
0.42858547, 1, 1, 1
0.42858585, 1, 0, 1
0.42858590, 1, 1, 1
0.42858781, 1, 0, 1
0.42858938, 1, 1, 1
0.42858964, 1, 0, 1
0.42858974, 1, 1, 1
0.42859212, 1, 0, 1
0.42859227, 1, 1, 1
0.42859313, 1, 0, 1
0.42861968, 0, 0, 1
0.42862459, 1, 0, 1
0.42863164, 1, 1, 1
0.42863187, 1, 0, 1
0.42863221, 1, 1, 1
0.42863295, 1, 0, 1
0.42863315, 1, 1, 1
0.42863409, 1, 0, 1
0.42863511, 1, 1, 1
0.42863589, 1, 0, 1
0.42863974, 1, 1, 1
0.42864073, 1, 0, 1
0.42864147, 1, 1, 1
0.42864267, 1, 0, 1
0.42864328, 1, 1, 1
0.42864448, 1, 0, 1
0.42864567, 1, 1, 1
0.42864591, 1, 0, 1
0.42864610, 1, 1, 1
0.42864743, 1, 0, 1
0.42864791, 1, 1, 1
0.42865030, 1, 0, 1
0.42865189, 1, 1, 1
0.42865285, 1, 0, 1
0.42865305, 1, 1, 1
0.42865342, 1, 0, 1
0.42865363, 1, 1, 1
0.42865454, 1, 0, 1
0.42865479, 1, 1, 1
0.42865556, 1, 0, 1
0.42868222, 0, 0, 1
0.42868711, 1, 0, 1
0.42869415, 1, 1, 1
0.42869445, 1, 0, 1
0.42869473, 1, 1, 1
0.42869547, 1, 0, 1
0.42869559, 1, 1, 1
0.42869663, 1, 0, 1
0.42869762, 1, 1, 1
0.42869792, 1, 0, 1
0.42869798, 1, 1, 1
0.42870004, 1, 0, 1
0.42870007, 1, 1, 1
0.42870183, 1, 0, 1
0.42870225, 1, 1, 1
0.42870320, 1, 0, 1
0.42870399, 1, 1, 1
0.42870517, 1, 0, 1
0.42870594, 1, 1, 1
0.42870622, 1, 0, 1
0.42870630, 1, 1, 1
0.42870657, 1, 0, 1
0.42870666, 1, 1, 1
0.42870700, 1, 0, 1
0.42870818, 1, 1, 1
0.42870849, 1, 0, 1
0.42870862, 1, 1, 1
0.42870990, 1, 0, 1
0.42871057, 1, 1, 1
0.42871090, 1, 0, 1
0.42871093, 1, 1, 1
0.42871286, 1, 0, 1
0.42871441, 1, 1, 1
0.42871538, 1, 0, 1
0.42871556, 1, 1, 1
0.42871594, 1, 0, 1
0.42871614, 1, 1, 1
0.42871804, 1, 0, 1
0.42874471, 0, 0, 1
